7098;77.70.159.176;29;LAB-ASG-RSITE3, Skywan lab, B-SITE02;6979;0;17;
7099;77.70.159.184;29;LAB-ASG-WAN1-EMUL, Linux Router, Link1;6979;0;17;
7100;77.70.159.192;29;LAB-ASG-WAN2-EMUL, Linux Router, Link2;6979;0;17;
7101;77.70.159.200;29;TEST/REF SITE-XXXXXX;6979;0;17;
7102;77.70.159.208;29;TEST/REF SITE-XXXXXX;6979;0;17;
7103;77.70.159.216;29;TEST/REF SITE-XXXXXX;6979;0;17;
7104;77.70.159.224;29;TEST/REF SITE-XXXXXX;6979;0;17;
7105;77.70.159.232;29;TEST/REF SITE--BRA-TST-02;6979;0;17;
7106;77.70.159.240;29;TEST/REF: SES-JRS-REF0;6979;0;17;
7108;128.201.88.0;22;SPLANG LACNIC IPv4 assignment;0;0;20;
7109;2803:53c0::;32;SPLANG LACNIC  IPv6 assignment;0;0;20;
7111;128.201.88.0;26;SPLANG HUB - public DMZ - reserved;7108;0;20;
7112;128.201.88.0;29;SPLANG HUB - public DMZ #1;7111;0;20;
7113;128.201.88.64;26;SPLANG HUB - public NAT pool #1;7108;0;20;
8096;77.70.128.0;20;HUBs infrastructure and customer assignments  via Paris TH2 Internet access - Public (All);8098;0;22;
8097;77.70.128.0;25;BETZDORF - Backbone, Reserved for RDNS at BTZ;8099;0;22;
8098;77.70.128.0;17;Master subnet - AS5377;0;0;22;
8099;77.70.128.0;23;BETZDORF - Backbone Hosting;8096;0;22;T-IP-20170605
8100;77.70.128.128;25;BETZDORF - HOSTING subnet;8099;0;22;0
8101;77.70.129.0;24;BETZDORF - Backbone and Hosting;8099;0;22;
8102;77.70.130.0;23;BETZDORF HUB PtPs;8096;0;22;T-IP-20170605
8108;77.70.130.24;29;Betzdorf - backbone PtP, IC Dialog BB (vrf IA-BTZ-U) to SES rent BB;8102;90;22;
8194;77.70.136.0;22;Customer PA assignments;8096;0;22;
8200;77.70.142.72;29;RAHO-SITE01;12052;50;22;T-IP-20180301-I
8205;77.70.142.144;29;SOCFIN-SITE12;12052;50;22;T-IP-20180510-I
8206;77.70.142.160;29;SOCFIN-SITE09;12052;50;22;T-IP-20151123
8207;77.70.142.168;29;SOCFIN-SITE10;12052;50;22;T-IP-20151123
8208;77.70.142.176;29;SOCFIN-SITE11;12052;50;22;T-IP-20151123
8215;77.70.142.224;28;OSCE-SITE01;12052;50;22;T-IP-20151201
8227;77.70.144.0;20;Various hubs with Internet access via  PARIS TH2 - Public (All);8098;0;22;
8228;77.70.144.0;23;PTH2 HUB  IP address assignments;8227;50;22;
8229;77.70.144.0;24;Paris TH2 - ISP backbone - loopbacks;8228;0;22;
8230;77.70.145.0;30;Paris TH2 - ISP backbone, FR-PTH2-ISP1  b2b  FR-PTH2-ISP2;8228;0;22;
8232;77.70.145.8;29;Paris TH2 - ISP backbone, PtP, VDOM000-root;8228;0;22;
8233;77.70.145.16;29;Paris TH2 - ISP backbone, PtP, VDOM001-IA-U;8228;0;22;
8234;77.70.145.24;30;Paris TH2 - ISP backbone, PtP, FR-PTH2-PE3, Internet access for a GRE tunnel;8228;0;22;
8235;77.70.145.28;30;Paris TH2 - ISP backbone, PtP, FR-PTH2-PE4, Internet access for a GRE tunnel;8228;0;22;
8236;77.70.145.32;29;Paris TH2 - ISP backbone, PtP, VDOM002-IA-P;8228;0;22;
8238;77.70.145.48;29;Paris TH2 - ISP backbone, PtP, VDOM004-SFO;8228;0;22;
8239;77.70.145.56;29;Paris TH2 - ISP backbone, PtP, vrf INTERNET-NORS;8228;0;22;
8240;77.70.145.64;29;Paris TH2 - ISP backbone, PtP, VDOM V05-EDF;8228;0;22;
8243;77.70.145.88;29;Paris TH2 - ISP backbone, PtP, VDOM007-UNIA;8228;0;22;
8244;77.70.145.96;29;Paris TH2 - ISP backbone, PtP, VDOM008-UNFPA;8228;0;22;
8245;77.70.145.104;29;FR-PTH2-IWAN1 - internet access;8228;0;22;
8246;77.70.145.112;29;FR-PTH2-IWAN2 - internet access;8228;0;22;
8247;77.70.145.120;29;Internet access for FR-PTH2-DMVPN1/2 router, vrf FVRF-INTERNET;8228;0;22;
8251;77.70.145.240;29;Paris TH2-IC ISP-MARITIME FTG#2 (Shared networks);8228;0;22;
8252;77.70.145.248;29;Paris TH2 - ISP backbone, PtP, ATLAS RIPE probe;8228;0;22;
8253;77.70.146.0;24;ASG,PTH2, BTZ  HUBs  various PtP IP address;8227;0;22;
8254;77.70.146.0;29;Aussaguel - backbone PtP, TLP-ASG-FWC01, VDOM public server farm;8253;50;22;
8258;77.70.146.48;29;Aussaguel - backbone PtP with Dialog LAB;8253;0;22;
8260;77.70.146.64;28;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM01-IA-U, vrf IA-TH2-U, WHO;8253;2;22;
8263;77.70.146.128;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM01-IA-U, vrf IA-TH2-U;8253;50;22;
8264;77.70.146.136;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM02-IA-P, vrf IA-TH2-P;8253;51;22;
8266;77.70.146.152;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM07-UNIA, vrf UNIA;8253;14;22;
8267;77.70.146.160;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM08-UNFPA, vrf UNFPA;8253;15;22;
8268;77.70.146.168;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM08-UNFPA, vrf OCHA;8253;5;22;
8271;77.70.146.200;29;Betzdorf - backbone PtP, Dialog, Satnet1, vrf IA-TH2-P;8253;51;22;
8272;77.70.146.208;29;Betzdorf - backbone PtP, Dialog, Satnet2, vrf IA-BTZ-U;8253;90;22;
8273;77.70.146.216;29;Betzdorf-backbone PtP, LU-BTZ-PE01/2,vrf IA-TH2-U in LU-BTZ-FWC01,VDOM V02-ISRC;8253;0;22;
8274;77.70.146.224;29;Betzdorf - backbone PtP, Dialog, Satnet2, vrf IA-TH2-U;8253;0;22;
