8266;77.70.146.152;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM07-UNIA, vrf UNIA;8253;14;22;
8267;77.70.146.160;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM08-UNFPA, vrf UNFPA;8253;15;22;
8268;77.70.146.168;29;Paris TH2 - backbone PtP, FR-PTH2-FWC01, VDOM08-UNFPA, vrf OCHA;8253;5;22;
8271;77.70.146.200;29;Betzdorf - backbone PtP, Dialog, Satnet1, vrf IA-TH2-P;8253;51;22;
8272;77.70.146.208;29;Betzdorf - backbone PtP, Dialog, Satnet2, vrf IA-BTZ-U;8253;90;22;
8273;77.70.146.216;29;Betzdorf-backbone PtP, LU-BTZ-PE01/2,vrf IA-TH2-U in LU-BTZ-FWC01,VDOM V02-ISRC;8253;0;22;
8274;77.70.146.224;29;Betzdorf - backbone PtP, Dialog, Satnet2, vrf IA-TH2-U;8253;0;22;
8275;77.70.146.232;29;Betzdorf - backbone PtP, Dialog, Airbus3-Satnet3, vrf IA-TH2-U;8253;0;22;
8276;77.70.146.240;29;Betzdorf - backbone PtP, Dialog, Airbus4-Satnet1, vrf IA-TH2-U;8253;0;22;
8277;77.70.146.248;29;Betzdorf - backbone PtP, Dialog, Airbus4-Satnet2, vrf IA-TH2-U;8253;0;22;
8278;77.70.147.0;24;ASG HUB IP address (demod and servers);8227;0;22;
8279;77.70.147.0;27;Aussaguel - Demodulators, vrf IA-TH2-U;8278;0;22;
8280;77.70.147.32;27;Aussaguel - NAT range for the private server farm, ASG Datacenter;8278;0;22;
8281;77.70.148.0;27;Paris TH2 - local internet segment;8282;0;22;
8282;77.70.148.0;24;PTH2 HUB IP address;8227;0;22;
8285;77.70.148.128;25;Aussaguel - public servers, block;8282;0;22;
8286;77.70.149.0;26;Aussaguel - Virtual servers at Datacenter, LAN 1;8287;0;22;
8287;77.70.149.0;24;ASG HUB server address;8227;0;22;
8288;77.70.149.64;26;Aussaguel - Virtual servers at Datacenter, LAN 2;8287;0;22;
8289;77.70.149.128;26;Aussaguel - Virtual servers at Datacenter, LAN 3;8287;0;22;
8290;77.70.149.192;26;Aussaguel - Virtual servers at Datacenter, LAN 4;8287;0;22;
8291;77.70.150.0;28;Aussaguel Newtec Elevation HUB - SML - PtP ASR-DATA path;8292;0;22;
8292;77.70.150.0;24;ASG HUB Newtec Elevation;8227;0;22;
8293;77.70.150.16;28;Aussaguel Newtec Elevation HUB - AVT - PtP ASR-DATA path;8292;0;22;
8294;77.70.150.32;28;Aussaguel Newtec Elevation HUB - MUMI - PtP ASR-DATA path;8292;0;22;
8297;77.70.150.128;30;Aussaguel Newtec Elevation HUB - PtP ASR RTR-CE RTR DATA path;8292;0;22;
8298;77.70.150.132;30;Aussaguel Newtec Elevation HUB - PtP ASR RTR-CE RTR DATA path;8292;0;22;
8299;77.70.150.136;30;Aussaguel Newtec Elevation HUB - PtP CE-RTR-CE RTR interconnect;8292;0;22;
8301;77.70.150.144;28;Aussaguel Newtec Elevation HUB - PtP CE RTR-DATA path to Shapers and Demods;8292;0;22;
8302;77.70.150.160;28;Aussaguel Newtec Elevation HUB - PtP CE RTR-DATA path - MUMI (VLAN1206);8292;0;22;
8303;77.70.150.176;28;Aussaguel Newtec Elevation HUB - PtP CE RTR-DATA path - ERA (VLAN1250);8292;0;22;
8304;77.70.150.192;29;Aussaguel Newtec Elevation HUB - PtP CE RTR-DATA path - WWCP path ERA;8292;0;22;
8309;77.70.151.0;24;Various HUB PTP IP Addresses;8227;0;22;
8316;77.70.152.0;22;Dialog PTP IP Addresses;8227;0;22;
8331;77.70.152.60;30;Dialog PtP - IMC-SITE01;8316;51;22;
8332;77.70.152.64;30;Dialog PtP - TFM-SITE01;8316;50;22;
8345;77.70.152.116;30;Dialog PtP - PWM-SITE01;8316;53;22;
8353;77.70.152.148;30;ASG, SATNET2 MDM2200 M2M test for msoltis;8316;50;22;
8354;77.70.152.152;30;ASG, SATNET2 vulnerability test for aantunes;8316;50;22;
8355;77.70.152.156;30;Dialog PtP - ROXGOLD-SITE01;8316;50;22;
8357;77.70.152.192;30;Dialog PtP - ECHO-SITE01;8316;50;22;
8358;77.70.152.196;30;Dialog PtP - ECHO-SITE13;8316;50;22;
8359;77.70.152.200;30;Dialog PtP - ECHO-SITE14;8316;50;22;
8360;77.70.152.204;30;Dialog PtP - ECHO-SITE15;8316;50;22;
8367;77.70.156.48;29;ASG-SEC-TEST-SITE01;12055;50;22;
8441;77.70.160.0;24;ASG HUB  Newtec customers side PtP IP address;8440;0;22;
8442;77.70.160.0;30;MUMI-SITE01 LAN - via VLAN24;8441;50;22;
8443;77.70.160.4;30;Newtec PtP customers site - MUMI-SITE02;8441;50;22;
8444;77.70.160.8;30;Newtec PtP customers site - MUMI-SITE03;8441;50;22;
8445;77.70.160.12;30;MUMI-SITE01 LAN - via VLAN25;8441;50;22;
8446;77.70.160.16;30;Newtec PtP customers site - SML-SITE01 PtP;8441;50;22;
8450;77.70.160.48;28;Newtec PtP customers site - MUMI-SITE02 - Interco PATH;8441;50;22;
8451;77.70.160.64;28;Newtec PtP customers site - MUMI-SITE03 - Interco PATH;8441;50;22;
8474;77.70.162.0;27;EVENTS VSAT reserved;8473;0;22;
8475;77.70.162.32;27;EVENTS VSAT reserved;8473;0;22;
8476;77.70.162.64;30;EVENT-SITE01;8473;50;22;
8477;77.70.162.68;30;EVENT-SITE02;8473;0;22;
8478;77.70.162.72;30;EVENT-SITE03;8473;0;22;
8479;77.70.162.80;28;EVENTS VSAT reserved;8473;0;22;
8480;77.70.162.96;27;EVENTS VSAT reserved Dakar;8473;0;22;
8481;77.70.162.128;25;EVENTS VSAT reserved;8473;0;22;
8482;77.70.163.0;24;Bratislava DNS;8440;0;22;
8483;77.70.164.0;22;Enterprise customers announcements via MSS networks;8098;0;22;
8484;77.70.168.0;21;Customer PA assignments;8098;0;22;
8486;77.70.176.0;27;EoM DMVPN Internet  - New York TH2;8485;62;22;
8488;77.70.182.0;23;BTZ - Public Range;8098;0;22;
8534;77.70.192.0;24;London TH2 - ISP backbone (loopback, DMVPN, etc.);8533;0;22;
8535;77.70.193.0;24;LTH2 HUB  PTP IP space#1;8533;0;22;
8536;77.70.193.0;29;London TH2 - ISP routers  -UK-LTH2-ISP01  b2b  UK-LTH2-ISP02;8535;0;22;
8537;77.70.193.8;29;London TH2 - PtP, ISP-routers  VDOM000-root;8535;0;22;
8540;77.70.193.48;29;London TH2 - PtP, ISP routers  VDOM004-GX-MSS;8535;0;22;
8541;77.70.193.56;29;London TH2 - PtP, ISP routers  VDOM005-VERGNET;8535;0;22;
8542;77.70.193.64;29;London TH2 - PtP, ISP routers VDOM06-GRFI;8535;0;22;
8546;77.70.193.240;29;London TH2 - PtP, MPLSoGRE to EIK;8535;0;22;
8547;77.70.193.248;29;London TH2 - PtP, PE routers  ATLAS RIPE probe reserved;8535;0;22;
8548;77.70.194.0;25;LTH2 Dialog platforms -  PTP IP space (various vrf);8533;0;22;
8549;77.70.194.0;29;Betzdorf - backbone PtP, Dialog, vrf IA-LTH2-U, SATNET 2;8548;63;22;
8550;77.70.194.8;29;Betzdorf - backbone PtP, Dialog, vrf GRFI, SATNET 2;8548;68;22;
8551;77.70.194.16;29;Betzdorf - backbone PtP, Dialog, vrf TERANGA, SATNET 2;8548;63;22;
8557;77.70.195.0;24;Site modem-router PtP - Internet via LTH2;8533;0;22;
8558;77.70.195.0;30;Dialog remote site PtP - VERG-SITE01;8557;65;22;
8559;77.70.195.4;30;TC-Land015-Areva - modem-router  PtP;8557;0;22;
8565;77.70.196.0;24;Local hosting in LTH2;8533;0;22;
8566;77.70.197.0;24;LTH2 Internet customer networks;8533;0;22;
8574;77.70.200.0;21;Customer Assignments #1;8533;63;22;
8576;77.70.224.0;23;Reserved Hosting space;8098;0;22;
8577;77.70.226.0;23;EIK - vrf IA-TH2-U;8098;50;22;
8580;77.70.240.0;21;Reserved for office needs;8098;0;22;
8581;77.70.248.0;22;Reserved for office needs;8098;0;22;
8582;77.70.252.0;22;Aussaguel - Office and backbone needs;8098;0;22;
8583;77.70.252.0;23;Aussaguel - Office and backbone needs - reserved - not in use;8582;0;22;
8584;77.70.254.0;23;Aussaguel - Office and backbone needs;8582;0;22;
9401;77.70.193.16;29;London TH2 - PtP, ISP routers- FTG V01-IA-LTH2-U;8535;0;22;
9402;77.70.193.32;29;London TH2 - PtP, ISP routers - FTG V02-IA-LTH2-P;8535;0;22;
9405;77.70.146.192;29;Betzdorf - backbone PtP, Dialog, Satnet1, vrf IA-TH2-U, VLAN310;8253;50;22;
9545;77.70.179.248;29;NAPA, Dialog interco with vrf MT-IA-NTH2;12077;62;22;
9546;77.70.148.32;27;Hosting DMZ, PTH2, VDOM V01-IA-U;8282;50;22;
9560;77.70.145.128;29;Paris TH2 - ISP backbone, PtP, VDOM009-VAS (77.70.145.96/29);8228;57;22;
9686;77.70.193.128;29;London TH2 - PtP, PE routers  VRF IA-LTH2-U  VDOM01-IA-LTH2-U;8535;50;22;
9687;77.70.193.136;29;London TH2 - PtP, PE routers VRF IA-LTH2-P  VDOM02-IA-LTH2-P;8535;64;22;
9688;77.70.193.144;29;London TH2 - PtP, PE routers VRF VERGNET - vdom V05;8535;65;22;
9689;77.70.193.152;29;London TH2 - PtP, PE routers VRF GRFI VDOM06-GRFI;8535;0;22;
9705;77.70.192.64;27;EoM DMVPN London Internet - London TH2;8534;63;22;
9706;77.70.197.12;30;Reserved for TC-Land017;8566;63;22;
9782;77.70.197.20;30;TC-Land019 public LAN;8566;63;22;
9783;77.70.197.24;30;TC-Land020 public LAN;8566;63;22;
9784;77.70.197.28;30;TC-Land021;8566;64;22;
9787;77.70.197.32;30;TC-Land022 public LAN;8566;63;22;
9789;77.70.197.40;30;Reserved for TC-Land024;8566;63;22;
9790;77.70.197.44;30;Reserved for TC-Land025;8566;63;22;
