100.64.0.8;/29;KCA-SITE02 IA-MARLINK LAN 
100.64.0.24;/29;KCA-SITE03 IA-MARLINK LAN 
100.64.0.44;/30;KCA-SITE29 temporary internet on
100.64.0.48;/30;ABRAJ-SITE29 temporary Internet 
100.64.0.52;/30;MBP-SITE08 temporary internet 
100.64.0.60;/30;ABRAJ-SITE03 temporary internet 
100.64.0.64;/30;KCA-SITE38 temporary internet on
100.123.23.144;/28;SLBO-SITE02 CCTV NAT subnet
100.123.23.248;/29;SLBO-SITE01 L2 LL to
100.69.0.0;/30;ABRAJ-SITE27 ABRJ2 LAN (vlan:
192.168.30.0;/27;ABRAJ-SITE06 LAN  
192.168.30.32;/27;ABRAJ-SITE02 LAN  
192.168.30.64;/27;ABRAJ-SITE03 LAN  
192.168.30.96;/27;ABRAJ-SITE04 LAN  
192.168.30.128;/27;ABRAJ-SITE05 LAN  
192.168.30.160;/27;ABRAJ-SITE07 LAN  
192.168.30.192;/27;ABRAJ-SITE08 LAN  
192.168.30.224;/27;ABRAJ-SITE09 LAN  
192.168.32.0;/27;ABRAJ-SITE18 LAN  
192.168.32.32;/27;ABRAJ-SITE19 LAN  
192.168.32.64;/27;ABRAJ-SITE20 LAN  
192.168.32.96;/27;ABRAJ-SITE21 LAN  
192.168.32.128;/27;ABRAJ-SITE22 LAN  
192.168.32.160;/27;ABRAJ-SITE23 LAN  
192.168.32.192;/27;ABRAJ-SITE17 LAN  
192.168.32.224;/27;ABRAJ-SITE25 LAN  
192.168.33.0;/27;ABRAJ-SITE26 LAN  
192.168.33.32;/27;ABRAJ-SITE13-LAN   
192.168.33.64;/27;ABRAJ-SITE10 LAN  
192.168.33.96;/27;ABRAJ-SITE11 LAN  
192.168.33.128;/27;ABRAJ-SITE12 LAN  
192.168.33.160;/27;ABRAJ-SITE14 LAN  
192.168.33.192;/27;ABRAJ-SITE15 LAN  
192.168.33.224;/27;ABRAJ-SITE16 LAN  
192.168.39.0;/27;ABRAJ-SITE24 LAN  
